FIPS,State,State_name,State,County,long,lat,FFRPTH14,PCH_FFRPTH_09_14,FSRPTH14,PCH_FSRPTH_09_14
1009,AL,Alabama,AL,Blount,-86.6346,33.9686,0.363831667,-13.07303488,0.259879762,-21.56965553
1009,AL,Alabama,AL,Blount,-86.7567,33.9745,0.363831667,-13.07303488,0.259879762,-21.56965553
1009,AL,Alabama,AL,Blount,-86.4234,34.0799,0.363831667,-13.07303488,0.259879762,-21.56965553
1009,AL,Alabama,AL,Blount,-86.7838,33.8818,0.363831667,-13.07303488,0.259879762,-21.56965553
1009,AL,Alabama,AL,Blount,-86.4244,33.8876,0.363831667,-13.07303488,0.259879762,-21.56965553
1009,AL,Alabama,AL,Blount,-86.4755,34.162,0.363831667,-13.07303488,0.259879762,-21.56965553
1009,AL,Alabama,AL,Blount,-86.7198,33.821,0.363831667,-13.07303488,0.259879762,-21.56965553
1009,AL,Alabama,AL,Blount,-86.4942,34.2045,0.363831667,-13.07303488,0.259879762,-21.56965553
1009,AL,Alabama,AL,Blount,-86.5178,33.9064,0.363831667,-13.07303488,0.259879762,-21.56965553
1009,AL,Alabama,AL,Blount,-86.5671,33.9965,0.363831667,-13.07303488,0.259879762,-21.56965553
1009,AL,Alabama,AL,Blount,-86.6839,33.8543,0.363831667,-13.07303488,0.259879762,-21.56965553
1009,AL,Alabama,AL,Blount,-86.4533,34.0382,0.363831667,-13.07303488,0.259879762,-21.56965553
1009,AL,Alabama,AL,Blount,-86.8241,33.879,0.363831667,-13.07303488,0.259879762,-21.56965553
1011,AL,Alabama,AL,Bullock,-85.9422,32.1171,0.2787068,-23.44620959,0.092902267,-48.96413973
1011,AL,Alabama,AL,Bullock,-85.6241,32.1638,0.2787068,-23.44620959,0.092902267,-48.96413973
1011,AL,Alabama,AL,Bullock,-85.7141,32.1395,0.2787068,-23.44620959,0.092902267,-48.96413973
1011,AL,Alabama,AL,Bullock,-85.9377,32.2463,0.2787068,-23.44620959,0.092902267,-48.96413973
1011,AL,Alabama,AL,Bullock,-85.6877,32.0704,0.2787068,-23.44620959,0.092902267,-48.96413973
1011,AL,Alabama,AL,Bullock,-85.5244,32.0764,0.2787068,-23.44620959,0.092902267,-48.96413973
1011,AL,Alabama,AL,Bullock,-85.7052,31.9477,0.2787068,-23.44620959,0.092902267,-48.96413973
1011,AL,Alabama,AL,Bullock,-85.8784,32.2114,0.2787068,-23.44620959,0.092902267,-48.96413973
1013,AL,Alabama,AL,Butler,-86.7246,31.5429,0.837603469,2.813362239,0.492707923,-45.88770409
1013,AL,Alabama,AL,Butler,-86.6379,31.8437,0.837603469,2.813362239,0.492707923,-45.88770409
1013,AL,Alabama,AL,Butler,-86.7058,31.7254,0.837603469,2.813362239,0.492707923,-45.88770409
