"","State","Age_group","Deaths","Population","Female","Male"
"126","Florida","85+",208784,5114025,4082.6,NA
"127","Georgia","25-34",919,12795825,7.2,NA
"128","Georgia","25-34",1658,12651072,NA,13.1
"129","Georgia","35-44",2960,13367434,22.1,NA
"130","Georgia","35-44",6123,12901556,NA,47.5
"131","Georgia","45-54",8209,12626411,65,NA
"132","Georgia","45-54",17820,11968959,NA,148.9
"133","Georgia","55-64",15372,9706711,158.4,NA
"134","Georgia","55-64",30934,8806466,NA,351.3
"135","Georgia","65-74",23083,6155528,375,NA
"136","Georgia","65-74",36767,5157882,NA,712.8
"137","Georgia","75-84",40985,2348499,NA,1745.2
"138","Georgia","75-84",41836,3547890,1179.2,NA
"139","Georgia","85+",30016,610059,NA,4920.2
"140","Georgia","85+",62426,1479424,4219.6,NA
"141","Hawaii","25-34",85,1691105,5,NA
"142","Hawaii","25-34",228,1840771,NA,12.4
"143","Hawaii","35-44",247,1694486,14.6,NA
"144","Hawaii","35-44",702,1738559,NA,40.4
"145","Hawaii","45-54",723,1743554,41.5,NA
"146","Hawaii","45-54",2105,1744397,NA,120.7
"147","Hawaii","55-64",1479,1491632,99.2,NA
"148","Hawaii","55-64",3646,1451400,NA,251.2
"149","Hawaii","65-74",2578,1027977,250.8,NA
"150","Hawaii","65-74",4991,915342,NA,545.3
"151","Hawaii","75-84",5057,690791,732.1,NA
"152","Hawaii","75-84",6879,518097,NA,1327.7
"153","Hawaii","85+",7623,198769,NA,3835.1
"154","Hawaii","85+",9194,331433,2774,NA
"155","Idaho","25-34",73,1830499,4,NA
"156","Idaho","25-34",132,1910931,NA,6.9
"157","Idaho","35-44",251,1829783,13.7,NA
"158","Idaho","35-44",551,1870461,NA,29.5
"159","Idaho","45-54",640,1860914,34.4,NA
"160","Idaho","45-54",1762,1852502,NA,95.1
"161","Idaho","55-64",1395,1558373,89.5,NA
"162","Idaho","55-64",3587,1532936,NA,234
"163","Idaho","65-74",2675,1039285,257.4,NA
"164","Idaho","65-74",5098,992038,NA,513.9
"165","Idaho","75-84",5704,630854,904.2,NA
"166","Idaho","75-84",7293,511340,NA,1426.3
"167","Idaho","85+",7844,158791,NA,4939.8
"168","Idaho","85+",11518,286313,4022.9,NA
"169","Illinois","25-34",935,16738770,5.6,NA
"170","Illinois","25-34",2012,16969421,NA,11.9
"171","Illinois","35-44",2980,17146088,17.4,NA
"172","Illinois","35-44",6768,17000107,NA,39.8
"173","Illinois","45-54",8689,17072740,50.9,NA
"174","Illinois","45-54",21844,16524697,NA,132.2
"175","Illinois","55-64",17247,13515054,127.6,NA
"176","Illinois","55-64",38526,12562489,NA,306.7
"177","Illinois","65-74",31037,8908751,348.4,NA
"178","Illinois","65-74",49997,7487244,NA,667.8
"179","Illinois","75-84",67740,6078492,1114.4,NA
"180","Illinois","75-84",70633,4117989,NA,1715.2
"181","Illinois","85+",67367,1313917,NA,5127.2
"182","Illinois","85+",130277,2978388,4374.1,NA
"183","Indiana","25-34",559,7839701,7.1,NA
"184","Indiana","25-34",1087,7933765,NA,13.7
"185","Indiana","35-44",1689,8326630,20.3,NA
"186","Indiana","35-44",3963,8317778,NA,47.6
"187","Indiana","45-54",4785,8547976,56,NA
"188","Indiana","45-54",12006,8397924,NA,143
"189","Indiana","55-64",9655,6956581,138.8,NA
"190","Indiana","55-64",21030,6571056,NA,320
"191","Indiana","65-74",17733,4660292,380.5,NA
"192","Indiana","65-74",27828,3987228,NA,697.9
"193","Indiana","75-84",36529,3123475,1169.5,NA
"194","Indiana","75-84",38514,2129814,NA,1808.3
"195","Indiana","85+",33734,638638,NA,5282.2
"196","Indiana","85+",64107,1451309,4417.2,NA
"197","Iowa","25-34",143,3463502,4.1,NA
"198","Iowa","25-34",293,3610925,NA,8.1
"199","Iowa","35-44",550,3685998,14.9,NA
"200","Iowa","35-44",1341,3745984,NA,35.8
"201","Iowa","45-54",1664,3954606,42.1,NA
"202","Iowa","45-54",4569,3974994,NA,114.9
"203","Iowa","55-64",3512,3299651,106.4,NA
"204","Iowa","55-64",8554,3225967,NA,265.2
"205","Iowa","65-74",6977,2321848,300.5,NA
"206","Iowa","65-74",12231,2046748,NA,597.6
"207","Iowa","75-84",17084,1743426,979.9,NA
"208","Iowa","75-84",19778,1232295,NA,1605
"209","Iowa","85+",21970,423551,NA,5187.1
"210","Iowa","85+",40759,955691,4264.9,NA
"211","Kansas","25-34",153,3382527,4.5,NA
"212","Kansas","25-34",321,3530333,NA,9.1
"213","Kansas","35-44",556,3488401,15.9,NA
"214","Kansas","35-44",1169,3528849,NA,33.1
"215","Kansas","45-54",1595,3636698,43.9,NA
"216","Kansas","45-54",4164,3608907,NA,115.4
"217","Kansas","55-64",3150,2933087,107.4,NA
"218","Kansas","55-64",7366,2829583,NA,260.3
"219","Kansas","65-74",5870,1970776,297.9,NA
"220","Kansas","65-74",10131,1732291,NA,584.8
"221","Kansas","75-84",14063,1418327,991.5,NA
"222","Kansas","75-84",15653,1016304,NA,1540.2
"223","Kansas","85+",17099,349045,NA,4898.8
"224","Kansas","85+",30735,751412,4090.3,NA
