"","State","Age_group","Deaths","Population","Female","Male"
"536","Rhode Island","35-44",495,1362163,NA,36.3
"537","Rhode Island","45-54",463,1504236,30.8,NA
"538","Rhode Island","45-54",1517,1414496,NA,107.2
"539","Rhode Island","55-64",1148,1196297,96,NA
"540","Rhode Island","55-64",2808,1105131,NA,254.1
"541","Rhode Island","65-74",2427,800115,303.3,NA
"542","Rhode Island","65-74",4143,670923,NA,617.5
"543","Rhode Island","75-84",6727,614268,1095.1,NA
"544","Rhode Island","75-84",6849,403700,NA,1696.6
"545","Rhode Island","85+",7747,141568,NA,5472.3
"546","Rhode Island","85+",15847,337148,4700.3,NA
"547","South Carolina","25-34",530,5647128,9.4,NA
"548","South Carolina","25-34",938,5556863,NA,16.9
"549","South Carolina","35-44",1598,5894104,27.1,NA
"550","South Carolina","35-44",3386,5666049,NA,59.8
"551","South Carolina","45-54",4293,6116695,70.2,NA
"552","South Carolina","45-54",9905,5708373,NA,173.5
"553","South Carolina","55-64",8160,5324086,153.3,NA
"554","South Carolina","55-64",17834,4773581,NA,373.6
"555","South Carolina","65-74",13284,3719156,357.2,NA
"556","South Carolina","65-74",21891,3192929,NA,685.6
"557","South Carolina","75-84",23344,2154523,1083.5,NA
"558","South Carolina","75-84",24996,1501877,NA,1664.3
"559","South Carolina","85+",17477,379058,NA,4610.6
"560","South Carolina","85+",33000,881350,3744.3,NA
"561","South Dakota","25-34",47,925307,5.1,NA
"562","South Dakota","25-34",88,985294,NA,8.9
"563","South Dakota","35-44",128,944471,13.6,NA
"564","South Dakota","35-44",350,978326,NA,35.8
"565","South Dakota","45-54",359,1020647,35.2,NA
"566","South Dakota","45-54",1139,1044003,NA,109.1
"567","South Dakota","55-64",805,851578,94.5,NA
"568","South Dakota","55-64",2236,857288,NA,260.8
"569","South Dakota","65-74",1574,587373,268,NA
"570","South Dakota","65-74",3196,541762,NA,589.9
"571","South Dakota","75-84",3776,431053,876,NA
"572","South Dakota","75-84",4918,324522,NA,1515.5
"573","South Dakota","85+",5570,113151,NA,4922.6
"574","South Dakota","85+",9533,240888,3957.4,NA
"575","Tennessee","25-34",678,7936610,8.5,NA
"576","Tennessee","25-34",1367,7845327,NA,17.4
"577","Tennessee","35-44",2267,8335503,27.2,NA
"578","Tennessee","35-44",4992,8114500,NA,61.5
"579","Tennessee","45-54",6724,8520495,78.9,NA
"580","Tennessee","45-54",14843,8096785,NA,183.3
"581","Tennessee","55-64",12589,7146853,176.1,NA
"582","Tennessee","55-64",25923,6576931,NA,394.2
"583","Tennessee","65-74",20312,4903589,414.2,NA
"584","Tennessee","65-74",32742,4206179,NA,778.4
"585","Tennessee","75-84",38029,2041026,NA,1863.2
"586","Tennessee","75-84",38547,3018814,1276.9,NA
"587","Tennessee","85+",29118,546717,NA,5326
"588","Tennessee","85+",59587,1281928,4648.2,NA
"589","Texas","25-34",1706,33306520,5.1,NA
"590","Texas","25-34",3422,34138863,NA,10
"591","Texas","35-44",5640,32953325,17.1,NA
"592","Texas","35-44",12228,32909191,NA,37.2
"593","Texas","45-54",15802,30620196,51.6,NA
"594","Texas","45-54",37373,30074006,NA,124.3
"595","Texas","55-64",31782,23354187,136.1,NA
"596","Texas","55-64",68204,21910688,NA,311.3
"597","Texas","65-74",52578,14928082,352.2,NA
"598","Texas","65-74",85939,12935877,NA,664.3
"599","Texas","75-84",100949,9009694,1120.4,NA
"600","Texas","75-84",108807,6465109,NA,1683
"601","Texas","85+",89455,1837590,NA,4868.1
"602","Texas","85+",161890,3811624,4247.3,NA
"603","Utah","25-34",137,3751578,3.7,NA
"604","Utah","25-34",247,3923457,NA,6.3
"605","Utah","35-44",296,3131465,9.5,NA
"606","Utah","35-44",704,3240288,NA,21.7
"607","Utah","45-54",743,2733577,27.2,NA
"608","Utah","45-54",2065,2736433,NA,75.5
"609","Utah","55-64",1568,2118365,74,NA
"610","Utah","55-64",3819,2044160,NA,186.8
"611","Utah","65-74",3139,1359602,230.9,NA
"612","Utah","65-74",5076,1231495,NA,412.2
"613","Utah","75-84",7873,833462,944.6,NA
"614","Utah","75-84",8725,665691,NA,1310.7
"615","Utah","85+",9552,202336,NA,4720.9
"616","Utah","85+",14523,347719,4176.6,NA
"617","Vermont","25-34",23,673100,3.4,NA
"618","Vermont","25-34",41,668939,NA,6.1
"619","Vermont","35-44",90,815830,11,NA
"620","Vermont","35-44",221,790110,NA,28
"621","Vermont","45-54",250,938835,26.6,NA
"622","Vermont","45-54",790,905517,NA,87.2
"623","Vermont","55-64",560,779606,71.8,NA
"624","Vermont","55-64",1662,760927,NA,218.4
"625","Vermont","65-74",1274,494210,257.8,NA
"626","Vermont","65-74",2446,454845,NA,537.8
"627","Vermont","75-84",3125,315657,990,NA
"628","Vermont","75-84",3464,232200,NA,1491.8
"629","Vermont","85+",3686,72222,NA,5103.7
"630","Vermont","85+",6672,158823,4200.9,NA
"631","Virginia","25-34",559,10241334,5.5,NA
"632","Virginia","25-34",1037,10348245,NA,10
"633","Virginia","35-44",1791,10946986,16.4,NA
"634","Virginia","35-44",3969,10690025,NA,37.1
"635","Virginia","45-54",5084,11020000,46.1,NA
"636","Virginia","45-54",12139,10537093,NA,115.2
"637","Virginia","55-64",9978,8684752,114.9,NA
"638","Virginia","55-64",21765,8070382,NA,269.7
"639","Virginia","65-74",17771,5579774,318.5,NA
"640","Virginia","65-74",28737,4813026,NA,597.1
"641","Virginia","75-84",35933,3434763,1046.2,NA
"642","Virginia","75-84",37621,2385123,NA,1577.3
"643","Virginia","85+",31547,675949,NA,4667.1
"644","Virginia","85+",60246,1508404,3994,NA
"645","Washington","25-34",304,8588166,3.5,NA
"646","Washington","25-34",639,8968471,NA,7.1
"647","Washington","35-44",950,8805568,10.8,NA
"648","Washington","35-44",2282,8988009,NA,25.4
"649","Washington","45-54",2681,8942860,30,NA
"650","Washington","45-54",7848,8888646,NA,88.3
"651","Washington","55-64",5995,7265504,82.5,NA
"652","Washington","55-64",15294,6991457,NA,218.8
"653","Washington","65-74",11079,4513616,245.5,NA
"654","Washington","65-74",21001,4111433,NA,510.8
"655","Washington","75-84",25083,2799511,896,NA
"656","Washington","75-84",30139,2116227,NA,1424.2
"657","Washington","85+",32680,701786,NA,4656.7
"658","Washington","85+",51143,1371974,3727.7,NA
"659","West Virginia","25-34",160,2081313,7.7,NA
"660","West Virginia","25-34",315,2126256,NA,14.8
"661","West Virginia","35-44",599,2318913,25.8,NA
"662","West Virginia","35-44",1307,2313438,NA,56.5
"663","West Virginia","45-54",1634,2574706,63.5,NA
"664","West Virginia","45-54",4142,2533612,NA,163.5
"665","West Virginia","55-64",3577,2311450,154.8,NA
"666","West Virginia","55-64",7278,2227310,NA,326.8
"667","West Virginia","65-74",7024,1671969,420.1,NA
"668","West Virginia","65-74",10942,1477954,NA,740.3
"669","West Virginia","75-84",15042,773690,NA,1944.2
"670","West Virginia","75-84",15070,1109490,1358.3,NA
"671","West Virginia","85+",11833,207418,NA,5704.9
"672","West Virginia","85+",23321,456853,5104.7,NA
"673","Wisconsin","25-34",241,6599913,3.7,NA
"674","Wisconsin","25-34",555,6854658,NA,8.1
"675","Wisconsin","35-44",910,7267768,12.5,NA
"676","Wisconsin","35-44",2263,7380755,NA,30.7
"677","Wisconsin","45-54",2708,7724769,35.1,NA
"678","Wisconsin","45-54",7780,7763043,NA,100.2
"679","Wisconsin","55-64",5708,6165009,92.6,NA
"680","Wisconsin","55-64",14876,6057412,NA,245.6
"681","Wisconsin","65-74",11402,4086724,279,NA
"682","Wisconsin","65-74",21275,3684764,NA,577.4
"683","Wisconsin","75-84",27744,2869893,966.7,NA
"684","Wisconsin","75-84",33462,2080062,NA,1608.7
"685","Wisconsin","85+",34797,675252,NA,5153.2
"686","Wisconsin","85+",61216,1476922,4144.8,NA
"687","Wyoming","25-34",31,647220,4.8,NA
"688","Wyoming","25-34",68,700548,NA,9.7
"689","Wyoming","35-44",124,652443,19,NA
"690","Wyoming","35-44",233,683882,NA,34.1
"691","Wyoming","45-54",357,732143,48.8,NA
"692","Wyoming","45-54",834,755941,NA,110.3
"693","Wyoming","55-64",613,610207,100.5,NA
"694","Wyoming","55-64",1620,637524,NA,254.1
"695","Wyoming","65-74",1195,378733,315.5,NA
"696","Wyoming","65-74",2109,369704,NA,570.5
"697","Wyoming","75-84",2230,229126,973.3,NA
"698","Wyoming","75-84",2858,185015,NA,1544.7
"699","Wyoming","85+",2492,54975,NA,4533
"700","Wyoming","85+",3858,103848,3715,NA
