State,Gender,Age_group,Deaths,Population,Crude_Rate
Texas,Female,65-74,52578,14928082,352.2
Texas,Male,65-74,85939,12935877,664.3
Texas,Female,75-84,100949,9009694,1120.4
Texas,Male,75-84,108807,6465109,1683
Texas,Female,85+,161890,3811624,4247.3
Texas,Male,85+,89455,1837590,4868.1
Utah,Female,25-34,137,3751578,3.7
Utah,Male,25-34,247,3923457,6.3
Utah,Female,35-44,296,3131465,9.5
Utah,Male,35-44,704,3240288,21.7
Utah,Female,45-54,743,2733577,27.2
Utah,Male,45-54,2065,2736433,75.5
Utah,Female,55-64,1568,2118365,74
Utah,Male,55-64,3819,2044160,186.8
Utah,Female,65-74,3139,1359602,230.9
Utah,Male,65-74,5076,1231495,412.2
Utah,Female,75-84,7873,833462,944.6
Utah,Male,75-84,8725,665691,1310.7
Utah,Female,85+,14523,347719,4176.6
Utah,Male,85+,9552,202336,4720.9
Vermont,Female,25-34,23,673100,3.4
Vermont,Male,25-34,41,668939,6.1
Vermont,Female,35-44,90,815830,11
Vermont,Male,35-44,221,790110,28
Vermont,Female,45-54,250,938835,26.6
Vermont,Male,45-54,790,905517,87.2
Vermont,Female,55-64,560,779606,71.8
Vermont,Male,55-64,1662,760927,218.4
Vermont,Female,65-74,1274,494210,257.8
Vermont,Male,65-74,2446,454845,537.8
Vermont,Female,75-84,3125,315657,990
Vermont,Male,75-84,3464,232200,1491.8
Vermont,Female,85+,6672,158823,4200.9
Vermont,Male,85+,3686,72222,5103.7
Virginia,Female,25-34,559,10241334,5.5
Virginia,Male,25-34,1037,10348245,10
Virginia,Female,35-44,1791,10946986,16.4
Virginia,Male,35-44,3969,10690025,37.1
Virginia,Female,45-54,5084,11020000,46.1
Virginia,Male,45-54,12139,10537093,115.2
Virginia,Female,55-64,9978,8684752,114.9
Virginia,Male,55-64,21765,8070382,269.7
Virginia,Female,65-74,17771,5579774,318.5
Virginia,Male,65-74,28737,4813026,597.1
Virginia,Female,75-84,35933,3434763,1046.2
Virginia,Male,75-84,37621,2385123,1577.3
Virginia,Female,85+,60246,1508404,3994
Virginia,Male,85+,31547,675949,4667.1
Washington,Female,25-34,304,8588166,3.5
Washington,Male,25-34,639,8968471,7.1
Washington,Female,35-44,950,8805568,10.8
Washington,Male,35-44,2282,8988009,25.4
Washington,Female,45-54,2681,8942860,30
Washington,Male,45-54,7848,8888646,88.3
Washington,Female,55-64,5995,7265504,82.5
Washington,Male,55-64,15294,6991457,218.8
Washington,Female,65-74,11079,4513616,245.5
Washington,Male,65-74,21001,4111433,510.8
Washington,Female,75-84,25083,2799511,896
Washington,Male,75-84,30139,2116227,1424.2
Washington,Female,85+,51143,1371974,3727.7
Washington,Male,85+,32680,701786,4656.7
West Virginia,Female,25-34,160,2081313,7.7
West Virginia,Male,25-34,315,2126256,14.8
West Virginia,Female,35-44,599,2318913,25.8
West Virginia,Male,35-44,1307,2313438,56.5
West Virginia,Female,45-54,1634,2574706,63.5
West Virginia,Male,45-54,4142,2533612,163.5
West Virginia,Female,55-64,3577,2311450,154.8
West Virginia,Male,55-64,7278,2227310,326.8
West Virginia,Female,65-74,7024,1671969,420.1
West Virginia,Male,65-74,10942,1477954,740.3
West Virginia,Female,75-84,15070,1109490,1358.3
West Virginia,Male,75-84,15042,773690,1944.2
West Virginia,Female,85+,23321,456853,5104.7
West Virginia,Male,85+,11833,207418,5704.9
Wisconsin,Female,25-34,241,6599913,3.7
Wisconsin,Male,25-34,555,6854658,8.1
Wisconsin,Female,35-44,910,7267768,12.5
Wisconsin,Male,35-44,2263,7380755,30.7
Wisconsin,Female,45-54,2708,7724769,35.1
Wisconsin,Male,45-54,7780,7763043,100.2
Wisconsin,Female,55-64,5708,6165009,92.6
Wisconsin,Male,55-64,14876,6057412,245.6
Wisconsin,Female,65-74,11402,4086724,279
Wisconsin,Male,65-74,21275,3684764,577.4
Wisconsin,Female,75-84,27744,2869893,966.7
Wisconsin,Male,75-84,33462,2080062,1608.7
Wisconsin,Female,85+,61216,1476922,4144.8
Wisconsin,Male,85+,34797,675252,5153.2
Wyoming,Female,25-34,31,647220,4.8
Wyoming,Male,25-34,68,700548,9.7
Wyoming,Female,35-44,124,652443,19
Wyoming,Male,35-44,233,683882,34.1
Wyoming,Female,45-54,357,732143,48.8
Wyoming,Male,45-54,834,755941,110.3
Wyoming,Female,55-64,613,610207,100.5
Wyoming,Male,55-64,1620,637524,254.1
Wyoming,Female,65-74,1195,378733,315.5
Wyoming,Male,65-74,2109,369704,570.5
Wyoming,Female,75-84,2230,229126,973.3
Wyoming,Male,75-84,2858,185015,1544.7
Wyoming,Female,85+,3858,103848,3715
Wyoming,Male,85+,2492,54975,4533
