State,Gender,Age_group,Deaths,Population,Crude_Rate
Hawaii,Female,35-44,247,1694486,14.6
Hawaii,Male,35-44,702,1738559,40.4
Hawaii,Female,45-54,723,1743554,41.5
Hawaii,Male,45-54,2105,1744397,120.7
Hawaii,Female,55-64,1479,1491632,99.2
Hawaii,Male,55-64,3646,1451400,251.2
Hawaii,Female,65-74,2578,1027977,250.8
Hawaii,Male,65-74,4991,915342,545.3
Hawaii,Female,75-84,5057,690791,732.1
Hawaii,Male,75-84,6879,518097,1327.7
Hawaii,Female,85+,9194,331433,2774
Hawaii,Male,85+,7623,198769,3835.1
Idaho,Female,25-34,73,1830499,4
Idaho,Male,25-34,132,1910931,6.9
Idaho,Female,35-44,251,1829783,13.7
Idaho,Male,35-44,551,1870461,29.5
Idaho,Female,45-54,640,1860914,34.4
Idaho,Male,45-54,1762,1852502,95.1
Idaho,Female,55-64,1395,1558373,89.5
Idaho,Male,55-64,3587,1532936,234
Idaho,Female,65-74,2675,1039285,257.4
Idaho,Male,65-74,5098,992038,513.9
Idaho,Female,75-84,5704,630854,904.2
Idaho,Male,75-84,7293,511340,1426.3
Idaho,Female,85+,11518,286313,4022.9
Idaho,Male,85+,7844,158791,4939.8
Illinois,Female,25-34,935,16738770,5.6
Illinois,Male,25-34,2012,16969421,11.9
Illinois,Female,35-44,2980,17146088,17.4
Illinois,Male,35-44,6768,17000107,39.8
Illinois,Female,45-54,8689,17072740,50.9
Illinois,Male,45-54,21844,16524697,132.2
Illinois,Female,55-64,17247,13515054,127.6
Illinois,Male,55-64,38526,12562489,306.7
Illinois,Female,65-74,31037,8908751,348.4
Illinois,Male,65-74,49997,7487244,667.8
Illinois,Female,75-84,67740,6078492,1114.4
Illinois,Male,75-84,70633,4117989,1715.2
Illinois,Female,85+,130277,2978388,4374.1
Illinois,Male,85+,67367,1313917,5127.2
Indiana,Female,25-34,559,7839701,7.1
Indiana,Male,25-34,1087,7933765,13.7
Indiana,Female,35-44,1689,8326630,20.3
Indiana,Male,35-44,3963,8317778,47.6
