"","County","FIPS","State","FFRPTH14","PCH_FFRPTH_09_14","FSRPTH14","PCH_FSRPTH_09_14","long","lat","group","order","State_name"
"4132","Allegan",26005,"MI",0.474320799,14.71551636,0.70269748,-9.097092977,-86.2473373413086,42.4733619689941,1200,38572,"Michigan"
"4149","Allegany",36003,"NY",0.377073906,-12.07175178,0.837942014,17.2376643,-78.7645034790039,39.6372184753418,1160,36628,"Maryland"
"4205","Allegany",24001,"MD",0.84987389,6.377298315,0.671674526,0.886857112,-78.7645034790039,39.6372184753418,1160,36628,"Maryland"
"4261","Alleghany",37005,"NC",0.367680853,-18.1910102,1.286882986,10.12748627,-79.9791793823242,37.6662445068359,2793,81326,"Virginia"
"4328","Alleghany",51005,"VA",0.442477876,-27.84955752,0.442477876,-9.811946903,-79.9791793823242,37.6662445068359,2793,81326,"Virginia"
"4395","Allegheny",42003,"PA",0.809742905,9.473926488,0.86009803,3.361540757,-79.7213439941406,40.548225402832,2214,64778,"Pennsylvania"
"4429","Allen",20001,"KS",0.387326671,-25.81587597,0.697188008,-37.68533581,-92.8077011108398,30.8938846588135,1080,32210,"Louisiana"
"4526","Allen",39003,"OH",0.942498096,-0.600978034,0.533130236,7.147106583,-92.8077011108398,30.8938846588135,1080,32210,"Louisiana"
"4623","Allen",22003,"LA",0.388908334,11.75929167,0.350017501,29.32146607,-92.8077011108398,30.8938846588135,1080,32210,"Louisiana"
"4720","Allen",21003,"KY",0.441522763,24.95724938,0.294348509,-2.811028257,-92.8077011108398,30.8938846588135,1080,32210,"Louisiana"
"4817","Allen",18003,"IN",0.655884652,7.398986172,0.702343148,1.808956974,-92.8077011108398,30.8938846588135,1080,32210,"Louisiana"
"4914","Allendale",45005,"SC",0.206291903,-63.48977136,0.206291903,NA,-81.4574127197266,32.8877792358398,2287,67253,"South carolina"
"4946","Alpena",26007,"MI",0.724437698,13.45075639,0.931419898,15.47666276,-83.8752899169922,45.040210723877,1201,38588,"Michigan"
"4967","Alpine",6003,"CA",1.792114695,7.258064516,0.896057348,NA,-120.069030761719,38.5199508666992,158,7036,"California"
"5003","Amador",6005,"CA",0.381035327,-14.29394794,1.088672364,1.533302089,-120.464370727539,38.4454689025879,159,7046,"California"
