,FIPS,State,State_name,County,long,lat,FFRPTH14,PCH_FFRPTH_09_14,FSRPTH14,PCH_FSRPTH_09_14
58,1009,AL,Alabama,Blount,-86.7567,33.9745,0.363831667,-13.07303488,0.259879762,-21.56965553
59,1009,AL,Alabama,Blount,-86.4234,34.0799,0.363831667,-13.07303488,0.259879762,-21.56965553
60,1009,AL,Alabama,Blount,-86.7838,33.8818,0.363831667,-13.07303488,0.259879762,-21.56965553
61,1009,AL,Alabama,Blount,-86.4244,33.8876,0.363831667,-13.07303488,0.259879762,-21.56965553
62,1009,AL,Alabama,Blount,-86.4755,34.162,0.363831667,-13.07303488,0.259879762,-21.56965553
63,1009,AL,Alabama,Blount,-86.7198,33.821,0.363831667,-13.07303488,0.259879762,-21.56965553
64,1009,AL,Alabama,Blount,-86.4942,34.2045,0.363831667,-13.07303488,0.259879762,-21.56965553
65,1009,AL,Alabama,Blount,-86.5178,33.9064,0.363831667,-13.07303488,0.259879762,-21.56965553
66,1009,AL,Alabama,Blount,-86.5671,33.9965,0.363831667,-13.07303488,0.259879762,-21.56965553
67,1009,AL,Alabama,Blount,-86.6839,33.8543,0.363831667,-13.07303488,0.259879762,-21.56965553
68,1009,AL,Alabama,Blount,-86.4533,34.0382,0.363831667,-13.07303488,0.259879762,-21.56965553
69,1009,AL,Alabama,Blount,-86.8241,33.879,0.363831667,-13.07303488,0.259879762,-21.56965553
70,1011,AL,Alabama,Bullock,-85.9422,32.1171,0.2787068,-23.44620959,0.092902267,-48.96413973
71,1011,AL,Alabama,Bullock,-85.6241,32.1638,0.2787068,-23.44620959,0.092902267,-48.96413973
72,1011,AL,Alabama,Bullock,-85.7141,32.1395,0.2787068,-23.44620959,0.092902267,-48.96413973
73,1011,AL,Alabama,Bullock,-85.9377,32.2463,0.2787068,-23.44620959,0.092902267,-48.96413973
74,1011,AL,Alabama,Bullock,-85.6877,32.0704,0.2787068,-23.44620959,0.092902267,-48.96413973
75,1011,AL,Alabama,Bullock,-85.5244,32.0764,0.2787068,-23.44620959,0.092902267,-48.96413973
76,1011,AL,Alabama,Bullock,-85.7052,31.9477,0.2787068,-23.44620959,0.092902267,-48.96413973
77,1011,AL,Alabama,Bullock,-85.8784,32.2114,0.2787068,-23.44620959,0.092902267,-48.96413973
78,1013,AL,Alabama,Butler,-86.7246,31.5429,0.837603469,2.813362239,0.492707923,-45.88770409
79,1013,AL,Alabama,Butler,-86.6379,31.8437,0.837603469,2.813362239,0.492707923,-45.88770409
80,1013,AL,Alabama,Butler,-86.7058,31.7254,0.837603469,2.813362239,0.492707923,-45.88770409
81,1013,AL,Alabama,Butler,-86.7468,31.6391,0.837603469,2.813362239,0.492707923,-45.88770409
82,1013,AL,Alabama,Butler,-86.8428,31.8624,0.837603469,2.813362239,0.492707923,-45.88770409
83,1013,AL,Alabama,Butler,-86.8233,31.5566,0.837603469,2.813362239,0.492707923,-45.88770409
84,1015,AL,Alabama,Calhoun,-85.9125,33.6457,0.888574485,10.70983344,0.66427413,17.35146089
85,1015,AL,Alabama,Calhoun,-85.6157,33.9267,0.888574485,10.70983344,0.66427413,17.35146089
86,1015,AL,Alabama,Calhoun,-85.8117,33.7602,0.888574485,10.70983344,0.66427413,17.35146089
87,1015,AL,Alabama,Calhoun,-85.7129,33.6683,0.888574485,10.70983344,0.66427413,17.35146089
88,1015,AL,Alabama,Calhoun,-86.0278,33.7878,0.888574485,10.70983344,0.66427413,17.35146089
89,1015,AL,Alabama,Calhoun,-85.688,33.7603,0.888574485,10.70983344,0.66427413,17.35146089
90,1015,AL,Alabama,Calhoun,-85.6733,33.8588,0.888574485,10.70983344,0.66427413,17.35146089
91,1015,AL,Alabama,Calhoun,-85.8137,33.6713,0.888574485,10.70983344,0.66427413,17.35146089
92,1015,AL,Alabama,Calhoun,-85.8718,33.5963,0.888574485,10.70983344,0.66427413,17.35146089
93,1015,AL,Alabama,Calhoun,-85.8927,33.8226,0.888574485,10.70983344,0.66427413,17.35146089
94,1015,AL,Alabama,Calhoun,-85.8535,33.7119,0.888574485,10.70983344,0.66427413,17.35146089
